term,coef,std_err,p_value,ci_low,ci_high,N,R2,Adj_R2
Intercept,1.7142783024300137,1.5196774272287719,0.259297086032665,-1.2642347230568682,4.692791327916895,273,0.1573227776731555,0.044965814696242945
C(conference)[T.CMC],0.4942266596932693,0.2717455558588127,0.06895551687478395,-0.038384842748821146,1.0268381621353597,273,0.1573227776731555,0.044965814696242945
C(conference)[T.MND],-0.029701487667040588,0.2031374434291998,0.8837526501256688,-0.4278435606998148,0.36844058536573365,273,0.1573227776731555,0.044965814696242945
C(conference)[T.MZT],0.3122382172675682,0.2516555937005636,0.21470319881393396,-0.18099768289358142,0.8054741174287178,273,0.1573227776731555,0.044965814696242945
C(conference)[T.NES],0.031080951081103078,0.1983378150560907,0.8754756623667679,-0.3576540232012007,0.4198159253634069,273,0.1573227776731555,0.044965814696242945
C(conference)[T.SLU],0.19790433205062277,0.2082135503697375,0.3418647119352183,-0.21018672776727917,0.6059953918685247,273,0.1573227776731555,0.044965814696242945
C(year)[T.2021],-0.05886190381712189,0.2724026650640844,0.8289221386575452,-0.5927613166354545,0.4750375090012108,273,0.1573227776731555,0.044965814696242945
C(year)[T.2022],-0.08735260092965089,0.3590975157307017,0.807807140188122,-0.7911707986996318,0.61646559684033,273,0.1573227776731555,0.044965814696242945
ann_coordination_and_decision_practices_count,-0.016447427483646068,0.028639373737885505,0.5657687037339834,-0.07257956854968392,0.03968471358239179,273,0.1573227776731555,0.044965814696242945
ann_coordination_and_decision_practices_mean_score,-0.2528662109714671,0.32662974042989334,0.438831597433205,-0.8930487384937245,0.38731631655079024,273,0.1573227776731555,0.044965814696242945
ann_coordination_and_decision_practices_sum_score,0.006734511535665396,0.020500287403331426,0.742527481393082,-0.03344531344758435,0.046914336518915134,273,0.1573227776731555,0.044965814696242945
ann_evaluation_practices_count,0.05843044639707441,0.05448152441944202,0.2835036594109126,-0.04835137928787142,0.16521227208202025,273,0.1573227776731555,0.044965814696242945
ann_evaluation_practices_mean_score,0.4795760091646006,0.24648575605779346,0.051696309909907576,-0.0035271954108000436,0.9626792137400012,273,0.1573227776731555,0.044965814696242945
ann_evaluation_practices_sum_score,-0.047575972494898214,0.035593223277012705,0.181334243662572,-0.11733740821153583,0.022185463221739407,273,0.1573227776731555,0.044965814696242945
ann_idea_management_count,0.03235214274910713,0.05899216314404042,0.5834074958286488,-0.08327037238332324,0.14797465788153752,273,0.1573227776731555,0.044965814696242945
ann_idea_management_mean_score,-0.5872221762803701,0.4122333700357312,0.1543047739463319,-1.3951847347759763,0.22074038221523606,273,0.1573227776731555,0.044965814696242945
ann_idea_management_sum_score,-0.020760366531025955,0.03401645184266871,0.5416606442533025,-0.08743138702449779,0.045910653962445876,273,0.1573227776731555,0.044965814696242945
ann_information_seeking_count,0.015214781153987743,0.05847309647706003,0.7947084298343101,-0.09939038200558584,0.1298199443135613,273,0.1573227776731555,0.044965814696242945
ann_information_seeking_mean_score,0.14907977952735327,0.3984654543800649,0.7083040543309072,-0.6318981601409619,0.9300577191956685,273,0.1573227776731555,0.044965814696242945
ann_information_seeking_sum_score,-0.00844969713460626,0.03178732149990419,0.790378049411302,-0.0707517024394142,0.053852308170201674,273,0.1573227776731555,0.044965814696242945
ann_integration_practices_count,0.11501426064306722,0.08137213023075404,0.15752770266872396,-0.04447218395451366,0.27450070524064807,273,0.1573227776731555,0.044965814696242945
ann_integration_practices_mean_score,0.44029403544187745,0.23065500009642423,0.05627683583047067,-0.011781457601196754,0.8923695284849517,273,0.1573227776731555,0.044965814696242945
ann_integration_practices_sum_score,-0.071321253339493,0.05128589808266597,0.16432851527839365,-0.1718397664963101,0.0291972598173241,273,0.1573227776731555,0.044965814696242945
ann_knowledge_sharing_count,-0.04992655333830425,0.0637170448363468,0.43329441291323745,-0.1748096664188678,0.07495655974225929,273,0.1573227776731555,0.044965814696242945
ann_knowledge_sharing_mean_score,-0.6785551183697971,0.7961063365636054,0.39402412628009076,-2.2388948658985868,0.8817846291589924,273,0.1573227776731555,0.044965814696242945
ann_knowledge_sharing_sum_score,0.034628214573865314,0.037462560311735664,0.3553083285483716,-0.03879705440579621,0.10805348355352684,273,0.1573227776731555,0.044965814696242945
ann_none_count,-0.005958284232186688,0.011182195642017228,0.5941466260490115,-0.027874984958621202,0.015958416494247826,273,0.1573227776731555,0.044965814696242945
ann_participation_dynamics_count,0.012411537560170667,0.021154363596344268,0.5573965568907001,-0.029050253204529315,0.05387332832487065,273,0.1573227776731555,0.044965814696242945
ann_participation_dynamics_mean_score,-0.23385171983105968,0.1724019429453627,0.1749613746489228,-0.5717533188686998,0.10404987920658049,273,0.1573227776731555,0.044965814696242945
ann_participation_dynamics_sum_score,-0.006027504860417346,0.017622147780925003,0.7323197038987977,-0.040566279841272784,0.028511270120438095,273,0.1573227776731555,0.044965814696242945
ann_relational_climate_count,-0.003753119967196251,0.011090957940107364,0.7350658639043817,-0.02549099808385523,0.01798475814946273,273,0.1573227776731555,0.044965814696242945
ann_relational_climate_mean_score,-0.24362862124661172,0.38690388097859024,0.5288989209112898,-1.0019462934434202,0.5146890509501969,273,0.1573227776731555,0.044965814696242945
ann_relational_climate_sum_score,-0.004999730492804161,0.010183704156633682,0.6234589686450764,-0.02495942386901702,0.014959962883408699,273,0.1573227776731555,0.044965814696242945
