term,coef_A,se_A,p_A,ci_low_A,ci_high_A,R2_A,Adj_R2_A,N_A,coef_B,se_B,p_B,ci_low_B,ci_high_B,R2_B,Adj_R2_B,N_B,delta_coef,abs_pct_change_coef,delta_R2,delta_Adj_R2
C(conference)[T.CMC],0.4942266596932693,0.2717455558588127,0.06895551687478395,-0.038384842748821146,1.0268381621353597,0.1573227776731555,0.044965814696242945,273.0,0.505381321272364,0.289681938225444,0.08105319083412713,-0.062384844621263036,1.0731474871659912,0.15763127104443797,0.03729288119364349,273,0.011154661579094727,0.022569930942247466,0.00030849337128247,-0.007672933502599455
C(conference)[T.MND],-0.029701487667040588,0.2031374434291998,0.8837526501256688,-0.4278435606998148,0.36844058536573365,0.1573227776731555,0.044965814696242945,273.0,-0.03376867814821925,0.20581200701231492,0.8696718225979657,-0.4371527994782616,0.36961544318182304,0.15763127104443797,0.03729288119364349,273,-0.004067190481178665,0.136935581367932,0.00030849337128247,-0.007672933502599455
C(conference)[T.MZT],0.3122382172675682,0.2516555937005636,0.21470319881393396,-0.18099768289358142,0.8054741174287178,0.1573227776731555,0.044965814696242945,273.0,0.3098024632948223,0.25323962871538336,0.22119490061156277,-0.18653808844562436,0.806143015035269,0.15763127104443797,0.03729288119364349,273,-0.002435753972745869,0.007800947603600309,0.00030849337128247,-0.007672933502599455
C(conference)[T.NES],0.031080951081103078,0.1983378150560907,0.8754756623667679,-0.3576540232012007,0.4198159253634069,0.1573227776731555,0.044965814696242945,273.0,0.030395629630565912,0.1999845714281947,0.8791949229615136,-0.3615669278323736,0.4223581870935054,0.15763127104443797,0.03729288119364349,273,-0.0006853214505371658,0.02204956498109978,0.00030849337128247,-0.007672933502599455
C(conference)[T.SLU],0.19790433205062277,0.2082135503697375,0.3418647119352183,-0.21018672776727917,0.6059953918685247,0.1573227776731555,0.044965814696242945,273.0,0.18831426940522447,0.20772089145333714,0.36463234543415124,-0.21881119667987023,0.5954397354903191,0.15763127104443797,0.03729288119364349,273,-0.0095900626453983,0.04845807338338212,0.00030849337128247,-0.007672933502599455
C(year)[T.2021],-0.05886190381712189,0.2724026650640844,0.8289221386575452,-0.5927613166354545,0.4750375090012108,0.1573227776731555,0.044965814696242945,273.0,-0.0651449665982945,0.27242871610767244,0.8110073764201882,-0.5990954385238194,0.4688055053272304,0.15763127104443797,0.03729288119364349,273,-0.006283062781172605,0.10674243226473712,0.00030849337128247,-0.007672933502599455
C(year)[T.2022],-0.08735260092965089,0.3590975157307017,0.807807140188122,-0.7911707986996318,0.61646559684033,0.1573227776731555,0.044965814696242945,273.0,-0.09998906954103776,0.362379587410324,0.7826067699660677,-0.8102400095977571,0.6102618705156817,0.15763127104443797,0.03729288119364349,273,-0.01263646861138687,0.1446604734936697,0.00030849337128247,-0.007672933502599455
Intercept,1.7142783024300137,1.5196774272287719,0.259297086032665,-1.2642347230568682,4.692791327916895,0.1573227776731555,0.044965814696242945,273.0,1.7740633801343153,1.5537100776260753,0.2535272044544504,-1.271152414429724,4.819279174698354,0.15763127104443797,0.03729288119364349,273,0.05978507770430164,0.03487477944482844,0.00030849337128247,-0.007672933502599455
ann_coordination_and_decision_practices_count,-0.016447427483646068,0.028639373737885505,0.5657687037339834,-0.07257956854968392,0.03968471358239179,0.1573227776731555,0.044965814696242945,273.0,-0.017198404986466288,0.029911495779995276,0.5653072393794212,-0.07582385943897885,0.041427049466046265,0.15763127104443797,0.03729288119364349,273,-0.0007509775028202194,0.04565926820877781,0.00030849337128247,-0.007672933502599455
ann_coordination_and_decision_practices_mean_score,-0.2528662109714671,0.32662974042989334,0.438831597433205,-0.8930487384937245,0.38731631655079024,0.1573227776731555,0.044965814696242945,273.0,-0.24849264808070443,0.32193518874244836,0.44019044476178015,-0.879474023372008,0.38248872721059907,0.15763127104443797,0.03729288119364349,273,0.004373562890762683,0.017295956126206942,0.00030849337128247,-0.007672933502599455
ann_coordination_and_decision_practices_sum_score,0.006734511535665396,0.020500287403331426,0.742527481393082,-0.03344531344758435,0.046914336518915134,0.1573227776731555,0.044965814696242945,273.0,0.006352136437691943,0.02028963229773028,0.7542251871595816,-0.033414812125420065,0.04611908500080396,0.15763127104443797,0.03729288119364349,273,-0.00038237509797345304,0.0567784457637985,0.00030849337128247,-0.007672933502599455
ann_evaluation_practices_count,0.05843044639707441,0.05448152441944202,0.2835036594109126,-0.04835137928787142,0.16521227208202025,0.1573227776731555,0.044965814696242945,273.0,0.057117194057306,0.056274047410291135,0.31011399391334504,-0.053177912131164115,0.16741230024577614,0.15763127104443797,0.03729288119364349,273,-0.0013132523397684087,0.02247548017764524,0.00030849337128247,-0.007672933502599455
ann_evaluation_practices_mean_score,0.4795760091646006,0.24648575605779346,0.051696309909907576,-0.0035271954108000436,0.9626792137400012,0.1573227776731555,0.044965814696242945,273.0,0.47949330349601293,0.24814213228506243,0.053318381738754604,-0.006856338829683228,0.965842945821709,0.15763127104443797,0.03729288119364349,273,-8.270566858764594e-05,0.00017245580889610268,0.00030849337128247,-0.007672933502599455
ann_evaluation_practices_sum_score,-0.047575972494898214,0.035593223277012705,0.181334243662572,-0.11733740821153583,0.022185463221739407,0.1573227776731555,0.044965814696242945,273.0,-0.047026535438841985,0.03617919365080609,0.1936617599284145,-0.11793645198412211,0.023883381106438145,0.15763127104443797,0.03729288119364349,273,0.0005494370560562289,0.011548624804572256,0.00030849337128247,-0.007672933502599455
ann_idea_management_count,0.03235214274910713,0.05899216314404042,0.5834074958286488,-0.08327037238332324,0.14797465788153752,0.1573227776731555,0.044965814696242945,273.0,0.02845596017611384,0.060207056914426904,0.636473633237929,-0.08954770299131612,0.14645962334354382,0.15763127104443797,0.03729288119364349,273,-0.0038961825729932897,0.12043043340926216,0.00030849337128247,-0.007672933502599455
ann_idea_management_mean_score,-0.5872221762803701,0.4122333700357312,0.1543047739463319,-1.3951847347759763,0.22074038221523606,0.1573227776731555,0.044965814696242945,273.0,-0.5928654791795334,0.41370773433561636,0.15184243647147813,-1.4037177386030062,0.21798678024393936,0.15763127104443797,0.03729288119364349,273,-0.0056433028991632606,0.009610166521485145,0.00030849337128247,-0.007672933502599455
ann_idea_management_sum_score,-0.020760366531025955,0.03401645184266871,0.5416606442533025,-0.08743138702449779,0.045910653962445876,0.1573227776731555,0.044965814696242945,273.0,-0.018468030961403814,0.03495997589421292,0.597317419459878,-0.08698832461444961,0.05005226269164198,0.15763127104443797,0.03729288119364349,273,0.0022923355696221406,0.11041883900249501,0.00030849337128247,-0.007672933502599455
